cd,name,lat,lng,type
1120216,柳田,39.276385,140.553856,1
1120217,横手,39.310146,140.5604,1
1120218,後三年,39.364891,140.538397,1
1120219,飯詰,39.406013,140.515378,1
1120220,大曲,39.465712,140.479628,1
1120221,神宮寺,39.494841,140.426518,1
1120222,刈和野,39.547646,140.372402,1
1120223,峰吉川,39.566586,140.32314,1
1120224,羽後境,39.618679,140.320722,1
1120225,大張野,39.663347,140.274071,1
1120226,和田,39.65087,140.218754,1
1120227,四ツ小屋,39.661341,140.144946,1
1120228,秋田,39.716748,140.129931,1
1120229,土崎,39.758453,140.073601,1
1120230,上飯島,39.779336,140.06847,1
1120231,追分,39.809925,140.05781,1
1120232,大久保,39.87089,140.063079,1
1120233,羽後飯塚,39.898981,140.0733,1
1120234,井川さくら,39.911925,140.076022,1
1120235,八郎潟,39.947366,140.078382,1
1120236,鯉川,39.996361,140.077474,1
1120237,鹿渡,40.044619,140.082621,1
1120238,森岳,40.103164,140.070886,1
1120239,北金岡,40.141895,140.063565,1
1120240,東能代,40.191579,140.065746,1
1120241,鶴形,40.203879,140.118507,1
1120242,富根,40.217956,140.172643,1
1120243,二ツ井,40.212506,140.235729,1
1120244,前山,40.214785,140.312378,1
1120245,鷹ノ巣（鷹巣）,40.232059,140.369816,1
1120246,糠沢,40.251094,140.397827,1
1120247,早口,40.271315,140.447572,1
1120248,下川沿,40.276408,140.496625,1
1120249,大館,40.288122,140.555946,1
1120250,白沢,40.338103,140.591657,1
1120251,陣場,40.398864,140.607523,1
1120252,津軽湯の沢,40.441879,140.632055,1
1120253,碇ケ関,40.478988,140.622443,1
1120254,長峰,40.516072,140.603069,1
1120255,大鰐温泉,40.52154,140.566914,1
1120256,石川,40.556021,140.530951,1
1120257,弘前,40.599723,140.485016,1
1120258,撫牛子,40.621298,140.497616,1
1120259,川部,40.646862,140.521376,1
1120260,北常盤,40.67053,140.54359,1
1120261,浪岡,40.71021,140.580664,1
1120262,大釈迦,40.756736,140.587776,1
1120263,鶴ケ坂,40.791228,140.634878,1
1120264,津軽新城,40.828022,140.672025,1
1120265,新青森,40.82749,140.693449,1
1120302,北野辺地,40.871077,141.134115,1
1120303,有戸,40.913949,141.189264,1
1120304,吹越,41.022038,141.246552,1
1120305,陸奥横浜,41.086544,141.249757,1
1120306,有畑,41.131818,141.276421,1
1120307,近川,41.191687,141.279021,1
1120308,金谷沢,41.228854,141.248432,1
1120309,赤川,41.267829,141.209339,1
1120310,下北,41.28288,141.18989,1
1120311,大湊,41.280344,141.161772,1
1120402,能代,40.206577,140.033084,1
1120403,向能代,40.225669,140.039111,1
1120404,北能代,40.254138,140.033835,1
1120405,鳥形,40.271433,140.036931,1
1120406,沢目,40.295929,140.037824,1
1120407,東八森,40.332086,140.032462,1
1120408,八森,40.37135,140.017882,1
1120409,滝ノ間,40.379967,140.00221,1
1120410,あきた白神,40.386583,139.987793,1
1120411,岩館,40.406241,139.966258,1
1120412,大間越,40.492407,139.950062,1
1120413,白神岳登山口,40.513551,139.950318,1
1120414,松神,40.534902,139.946556,1
1120415,十二湖,40.551539,139.941986,1
1120416,陸奥岩崎,40.583333,139.924183,1
1120417,陸奥沢辺,40.586175,139.894991,1
1120418,ウェスパ椿山,40.592913,139.871157,1
1120419,艫作,40.608534,139.864856,1
1120420,横磯,40.629891,139.89091,1
1120421,深浦,40.650239,139.929372,1
1120422,広戸,40.67434,139.955586,1
1120423,追良瀬,40.686114,139.970298,1
1120424,驫木,40.707218,139.982954,1
1120425,風合瀬,40.731826,139.99432,1
1120426,大戸瀬,40.759325,140.033596,1
